5_1, Accuracy for video,0.583, Accuracy for ear,0.444
5_2, Accuracy for video,0.667, Accuracy for ear,0.554
5_3, Accuracy for video,0.639, Accuracy for ear,0.498
5_4, Accuracy for video,0.75, Accuracy for ear,0.513
5_5, Accuracy for video,0.583, Accuracy for ear,0.477
