5_1, Accuracy for video,0.611, Accuracy for ear,0.454
5_2, Accuracy for video,0.722, Accuracy for ear,0.549
5_3, Accuracy for video,0.583, Accuracy for ear,0.528
5_4, Accuracy for video,0.639, Accuracy for ear,0.545
5_5, Accuracy for video,0.556, Accuracy for ear,0.479
