5_1, Accuracy for video,0.528, Accuracy for ear,0.512
5_2, Accuracy for video,0.5, Accuracy for ear,0.52
5_3, Accuracy for video,0.444, Accuracy for ear,0.478
5_4, Accuracy for video,0.611, Accuracy for ear,0.561
5_5, Accuracy for video,0.611, Accuracy for ear,0.437
