5_1, Accuracy for video,0.611, Accuracy for ear,0.515
5_2, Accuracy for video,0.639, Accuracy for ear,0.51
5_3, Accuracy for video,0.639, Accuracy for ear,0.494
5_4, Accuracy for video,0.694, Accuracy for ear,0.534
5_5, Accuracy for video,0.528, Accuracy for ear,0.427
