5_1, Accuracy for video,0.722, Accuracy for ear,0.477
5_2, Accuracy for video,0.667, Accuracy for ear,0.597
5_3, Accuracy for video,0.556, Accuracy for ear,0.453
5_4, Accuracy for video,0.444, Accuracy for ear,0.53
5_5, Accuracy for video,0.556, Accuracy for ear,0.472
