5_1, Accuracy for video,0.528, Accuracy for ear,0.516
5_2, Accuracy for video,0.667, Accuracy for ear,0.51
5_3, Accuracy for video,0.667, Accuracy for ear,0.55
5_4, Accuracy for video,0.556, Accuracy for ear,0.542
5_5, Accuracy for video,0.528, Accuracy for ear,0.458
