5_1, Accuracy for video,0.556, Accuracy for ear,0.48
5_2, Accuracy for video,0.5, Accuracy for ear,0.468
5_3, Accuracy for video,0.611, Accuracy for ear,0.553
5_4, Accuracy for video,0.75, Accuracy for ear,0.532
5_5, Accuracy for video,0.556, Accuracy for ear,0.434
