5_1, Accuracy for video,0.667, Accuracy for ear,0.488
5_2, Accuracy for video,0.639, Accuracy for ear,0.522
5_3, Accuracy for video,0.667, Accuracy for ear,0.498
5_4, Accuracy for video,0.694, Accuracy for ear,0.499
5_5, Accuracy for video,0.583, Accuracy for ear,0.456
