5_1, Accuracy for video,0.333, Accuracy for ear,0.386
5_2, Accuracy for video,0.528, Accuracy for ear,0.547
5_3, Accuracy for video,0.333, Accuracy for ear,0.433
5_4, Accuracy for video,0.333, Accuracy for ear,0.486
5_5, Accuracy for video,0.333, Accuracy for ear,0.42
