5_1, Accuracy for video,0.639, Accuracy for ear,0.529
5_2, Accuracy for video,0.75, Accuracy for ear,0.49
5_3, Accuracy for video,0.722, Accuracy for ear,0.546
5_4, Accuracy for video,0.667, Accuracy for ear,0.487
5_5, Accuracy for video,0.556, Accuracy for ear,0.427
