5_1, Accuracy for video,0.639, Accuracy for ear,0.539
5_2, Accuracy for video,0.611, Accuracy for ear,0.502
5_3, Accuracy for video,0.611, Accuracy for ear,0.494
5_4, Accuracy for video,0.722, Accuracy for ear,0.568
5_5, Accuracy for video,0.556, Accuracy for ear,0.444
