5_1, Accuracy for video,0.611, Accuracy for ear,0.447
5_2, Accuracy for video,0.694, Accuracy for ear,0.539
5_3, Accuracy for video,0.611, Accuracy for ear,0.514
5_4, Accuracy for video,0.722, Accuracy for ear,0.482
5_5, Accuracy for video,0.639, Accuracy for ear,0.431
