5_1, Accuracy for video,0.583, Accuracy for ear,0.478
5_2, Accuracy for video,0.694, Accuracy for ear,0.513
5_3, Accuracy for video,0.611, Accuracy for ear,0.472
5_4, Accuracy for video,0.556, Accuracy for ear,0.51
5_5, Accuracy for video,0.5, Accuracy for ear,0.418
