5_1, Accuracy for video,0.556, Accuracy for ear,0.469
5_2, Accuracy for video,0.75, Accuracy for ear,0.536
5_3, Accuracy for video,0.667, Accuracy for ear,0.495
5_4, Accuracy for video,0.722, Accuracy for ear,0.513
5_5, Accuracy for video,0.611, Accuracy for ear,0.435
