5_1, Accuracy for video,0.583, Accuracy for ear,0.525
5_2, Accuracy for video,0.667, Accuracy for ear,0.5
5_3, Accuracy for video,0.528, Accuracy for ear,0.44
5_4, Accuracy for video,0.667, Accuracy for ear,0.487
5_5, Accuracy for video,0.583, Accuracy for ear,0.465
