5_1, Accuracy for video,0.5, Accuracy for ear,0.476
5_2, Accuracy for video,0.556, Accuracy for ear,0.495
5_3, Accuracy for video,0.583, Accuracy for ear,0.397
5_4, Accuracy for video,0.667, Accuracy for ear,0.471
5_5, Accuracy for video,0.5, Accuracy for ear,0.442
