5_1, Accuracy for video,0.583, Accuracy for ear,0.45
5_2, Accuracy for video,0.611, Accuracy for ear,0.551
5_3, Accuracy for video,0.472, Accuracy for ear,0.465
5_4, Accuracy for video,0.444, Accuracy for ear,0.506
5_5, Accuracy for video,0.333, Accuracy for ear,0.446
