5_1, Accuracy for video,0.667, Accuracy for ear,0.518
5_2, Accuracy for video,0.75, Accuracy for ear,0.497
5_3, Accuracy for video,0.694, Accuracy for ear,0.519
5_4, Accuracy for video,0.722, Accuracy for ear,0.529
5_5, Accuracy for video,0.611, Accuracy for ear,0.431
