5_1, Accuracy for video,0.694, Accuracy for ear,0.495
5_2, Accuracy for video,0.667, Accuracy for ear,0.558
5_3, Accuracy for video,0.444, Accuracy for ear,0.525
5_4, Accuracy for video,0.667, Accuracy for ear,0.49
5_5, Accuracy for video,0.5, Accuracy for ear,0.469
