5_1, Accuracy for video,0.583, Accuracy for ear,0.416
5_2, Accuracy for video,0.417, Accuracy for ear,0.485
5_3, Accuracy for video,0.25, Accuracy for ear,0.384
5_4, Accuracy for video,0.472, Accuracy for ear,0.498
5_5, Accuracy for video,0.417, Accuracy for ear,0.447
