5_1, Accuracy for video,0.639, Accuracy for ear,0.512
5_2, Accuracy for video,0.639, Accuracy for ear,0.518
5_3, Accuracy for video,0.611, Accuracy for ear,0.457
5_4, Accuracy for video,0.722, Accuracy for ear,0.546
5_5, Accuracy for video,0.556, Accuracy for ear,0.461
