5_1, Accuracy for video,0.583, Accuracy for ear,0.515
5_2, Accuracy for video,0.667, Accuracy for ear,0.502
5_3, Accuracy for video,0.528, Accuracy for ear,0.496
5_4, Accuracy for video,0.75, Accuracy for ear,0.575
5_5, Accuracy for video,0.583, Accuracy for ear,0.463
