5_1, Accuracy for video,0.556, Accuracy for ear,0.519
5_2, Accuracy for video,0.667, Accuracy for ear,0.517
5_3, Accuracy for video,0.722, Accuracy for ear,0.529
5_4, Accuracy for video,0.667, Accuracy for ear,0.566
5_5, Accuracy for video,0.5, Accuracy for ear,0.42
