5_1, Accuracy for video,0.5, Accuracy for ear,0.427
5_2, Accuracy for video,0.778, Accuracy for ear,0.556
5_3, Accuracy for video,0.611, Accuracy for ear,0.495
5_4, Accuracy for video,0.75, Accuracy for ear,0.588
5_5, Accuracy for video,0.667, Accuracy for ear,0.466
