5_1, Accuracy for video,0.556, Accuracy for ear,0.504
5_2, Accuracy for video,0.694, Accuracy for ear,0.461
5_3, Accuracy for video,0.417, Accuracy for ear,0.425
5_4, Accuracy for video,0.667, Accuracy for ear,0.504
5_5, Accuracy for video,0.583, Accuracy for ear,0.506
