5_1, Accuracy for video,0.472, Accuracy for ear,0.43
5_2, Accuracy for video,0.583, Accuracy for ear,0.583
5_3, Accuracy for video,0.5, Accuracy for ear,0.489
5_4, Accuracy for video,0.694, Accuracy for ear,0.526
5_5, Accuracy for video,0.472, Accuracy for ear,0.386
