5_1, Accuracy for video,0.667, Accuracy for ear,0.504
5_2, Accuracy for video,0.639, Accuracy for ear,0.449
5_3, Accuracy for video,0.639, Accuracy for ear,0.523
5_4, Accuracy for video,0.639, Accuracy for ear,0.558
5_5, Accuracy for video,0.472, Accuracy for ear,0.431
