5_1, Accuracy for video,0.639, Accuracy for ear,0.479
5_2, Accuracy for video,0.583, Accuracy for ear,0.571
5_3, Accuracy for video,0.694, Accuracy for ear,0.516
5_4, Accuracy for video,0.694, Accuracy for ear,0.517
5_5, Accuracy for video,0.5, Accuracy for ear,0.402
