5_1, Accuracy for video,0.667, Accuracy for ear,0.509
5_2, Accuracy for video,0.611, Accuracy for ear,0.519
5_3, Accuracy for video,0.528, Accuracy for ear,0.479
5_4, Accuracy for video,0.667, Accuracy for ear,0.522
5_5, Accuracy for video,0.556, Accuracy for ear,0.469
