5_1, Accuracy for video,0.611, Accuracy for ear,0.513
5_2, Accuracy for video,0.583, Accuracy for ear,0.555
5_3, Accuracy for video,0.667, Accuracy for ear,0.526
5_4, Accuracy for video,0.5, Accuracy for ear,0.546
5_5, Accuracy for video,0.5, Accuracy for ear,0.431
