5_1, Accuracy for video,0.528, Accuracy for ear,0.488
5_2, Accuracy for video,0.5, Accuracy for ear,0.546
5_3, Accuracy for video,0.583, Accuracy for ear,0.481
5_4, Accuracy for video,0.444, Accuracy for ear,0.529
5_5, Accuracy for video,0.556, Accuracy for ear,0.476
