5_1, Accuracy for video,0.722, Accuracy for ear,0.495
5_2, Accuracy for video,0.667, Accuracy for ear,0.557
5_3, Accuracy for video,0.639, Accuracy for ear,0.522
5_4, Accuracy for video,0.639, Accuracy for ear,0.529
5_5, Accuracy for video,0.583, Accuracy for ear,0.444
