5_1, Accuracy for video,0.583, Accuracy for ear,0.488
5_2, Accuracy for video,0.389, Accuracy for ear,0.33
5_3, Accuracy for video,0.667, Accuracy for ear,0.509
5_4, Accuracy for video,0.694, Accuracy for ear,0.511
5_5, Accuracy for video,0.444, Accuracy for ear,0.412
