5_1, Accuracy for video,0.556, Accuracy for ear,0.457
5_2, Accuracy for video,0.472, Accuracy for ear,0.462
5_3, Accuracy for video,0.5, Accuracy for ear,0.472
5_4, Accuracy for video,0.611, Accuracy for ear,0.586
5_5, Accuracy for video,0.5, Accuracy for ear,0.439
